name,latitude,longitude,time_frame,menu_items
Las Palomas,30.27188197,-97.80007288,5PM - 6:30PM Tue - Fri,$4 beers; $5 house margaritas; $5 glasses of wine; $5 botana bites
Los Pinos,30.41197538,-97.92635372,2:30PM - 6:30PM,"discounted ritas, martinis, tequila shots, and more; $2.75 domestics; $2.99 mexican beer"
Oasthouse Kitchen + Bar,30.20003611,-97.86797502,3:30PM - 6PM M - F; 8PM - Close; Sat 3PM - 5PM; 9PM - Close; Sun 3PM - Close,$5-7 tasty treats; $5-6 libations; all beer $1 off; 1/2 price featured bottle of wine
Shore Raw Bar & Grill,30.24975028,-97.89508621,3PM - 6PM,$0.50 off oysters; $3 off raw bar; $3 off lite bites; $2 off drink selections
Sway Thai,30.27649788,-97.80401149,4PM - 6PM,"1/2 off all cocktails, wine, beer, & sake"
Tony C's,30.30929475,-97.94080914,3PM - 7PM,$3 off appetizers; $2 off 23 oz drafts; discounted bellinis & wine by the glass; plus daily specials
Torchy's Tacos,30.20190941,-97.88033751,3PM - 6PM M - F; All Day Sat & Sun,"all Day Sat & Sun	Mon - Fri $2 off all margs and signature sips and $1.50 off all bottled & draft beer; Sat & Sun: $3.50 sangria, bloody mary, mimosa, tequila sunrise"
Moontower,30.16921799,-97.82666689,"All Day, Every Day","Daily specials, including $1 off tequila Mondays and Texas specials on Tuesdays"
South Austin Beer Garden,30.16414295,-97.83128329,12 PM - 7 PM ,"$1.00 off draft beers and wells, $2.00 off draft cocktails and frozen drinks; Daily specials (Saturday and Sunday as well) "
Lustre Pearl South,30.16726326,-97.82753003,Monday - Thursday: 11 AM - 6 PM ,$1 off wells & drafts; $6 Espolon & Tito’s; $8 margaritas on the rocks; Tuesdays - $5 frozen margs; Mondays - $3 Lone Stars and $5 Jim Beam
